Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",,,Function,__ctype_b_loc(),,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,"add_to_batch(struct xc_sr_context *,xen_pfn_t)",tools/libxc/xc_sr_save.c,,,,3,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,3,9,2,6,0,0,0,5,4,4,6,1,0,5,3,3,3,1,0,,,,,0,,1,0,,0.00,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,cleanup(struct xc_sr_context *),tools/libxc/xc_sr_save.c,,,,4,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18,4,14,4,11,0,0,0,10,2,14,15,3,0,12,4,4,4,1,0,,,,,0,,2,0,,0.00,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,colo_merge_secondary_dirty_bitmap(struct xc_sr_context *),tools/libxc/xc_sr_save.c,,,,8,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,51,8,43,10,28,0,0,0,8,24,36,41,9,0,32,9,9,9,6,6,,,,,6,,3,6,,0.00,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,complete(int),tools/libxl/libxl_save_helper.c,,,,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,2,5,1,0,0,5,1,5,5,1,0,4,2,2,2,1,0,,,,,0,,0,0,,0.14,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,"dup_cloexec(libxl__gc *,int,const char *)",tools/libxl/libxl_save_callout.c,,,,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,2,13,2,8,0,0,0,7,3,6,8,1,0,7,3,3,3,1,0,,,,,0,,2,0,,0.00,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,enable_logdirty(struct xc_sr_context *),tools/libxc/xc_sr_save.c,,,,2,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33,2,30,5,21,1,0,0,5,7,15,19,4,0,15,6,6,6,3,3,,,,,2,,3,2,,0.03,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,"fail(int,const char *,...)",tools/libxl/libxl_save_helper.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,7,2,3,0,0,0,3,1,4,4,1,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Static Function,flush_batch(struct xc_sr_context *),tools/libxc/xc_sr_save.c,,,,4,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,4,14,2,6,0,0,0,2,3,5,7,1,1,5,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
311,Yes,Yes,839cbe6628c818166cc99d941b83860c2e7cc94e,"[""CVE-2017-17046"", ""CVE-2017-15597"", ""CVE-2017-15594"", ""CVE-2017-15593"", ""CVE-2017-15592"", ""CVE-2017-15590"", ""CVE-2017-15589"", ""CVE-2017-15588""]",Unknown,,Function,"helper_allocbuf(int,void *)",tools/libxl/libxl_save_helper.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
