Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[5517, 5522]",Function,"__set_fixmap(enum fixed_addresses,unsigned long,unsigned long)",xen/arch/x86/mm.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,2,0,0,0,4,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[2688, 2839]",Static Function,"_get_page_type(struct page_info *,unsigned long,bool)",xen/arch/x86/mm.c,,,,17,113,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,152,17,113,8,85,22,0,0,33,1652,46,70,6,3,61,26,26,41,14,46,,,,,46,,5,45,,0.19,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[4281, 4307]",Static Function,"_handle_iomem_range(unsigned long,unsigned long,struct memory_map_context *)",xen/arch/x86/mm.c,,,,2,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,27,2,25,3,16,0,0,0,12,5,13,17,1,0,16,5,5,6,5,6,,,,,6,,3,6,,0.00,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[2565, 2599]",Static Function,"_put_final_page_type(struct page_info *,unsigned long,bool,struct page_info *)",xen/arch/x86/mm.c,,,,2,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,35,2,32,3,20,1,0,0,14,4,15,18,1,0,17,4,4,6,1,2,,,,,0,,2,0,,0.03,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[2602, 2685]",Static Function,"_put_page_type(struct page_info *,bool,struct page_info *)",xen/arch/x86/mm.c,,,,13,53,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,84,13,53,4,38,18,0,0,17,20,25,37,2,3,32,12,10,16,9,26,,,,,26,,4,25,,0.34,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[2426, 2503]",Static Function,"alloc_page_type(struct page_info *,unsigned long,int)",xen/arch/x86/mm.c,,,,4,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,78,0,6,2,2,0,69,3,2,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[4762, 4773]",Function,alloc_xen_pagetable(),xen/arch/x86/mm.c,,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,2,10,2,5,0,0,0,6,2,4,5,1,0,4,2,2,3,1,1,,,,,0,,1,0,,0.00,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[4434, 4477]",Function,"arch_acquire_resource(struct domain *,unsigned int,unsigned int,unsigned long,unsigned int,xen_pfn_t [],unsigned int *)",xen/arch/x86/mm.c,,,,8,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44,3,14,5,5,0,25,2,1,1,4,5,1,0,4,1,2,1,1,0,,,,,0,,1,0,,0.00,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",Unknown,,Function,arch_dump_shared_mem_info(),xen/arch/x86/mm.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,1,3,0,0,0,3,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
417,Yes,Yes,d80988cfc04ee608bee722448e7c3bc8347ec04c,"[""CVE-2018-19965""]",No,"[255, 388]",Function,arch_init_memory(),xen/arch/x86/mm.c,,,,18,80,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,134,18,78,6,58,36,0,2,34,400,43,56,4,2,50,14,14,18,4,3,,,,,3,,5,1,,0.46,,,,
