Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[100, 107]",Static Function,"__copy_mfn_to_guest_offset((*) (),size_t,mfn_t)",xen/common/memory.c,,,,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,1,7,4,2,0,0,0,3,1,2,2,1,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[5513, 5518]",Function,"__set_fixmap(enum fixed_addresses,unsigned long,unsigned long)",xen/arch/x86/mm.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,2,0,0,0,4,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[440, 474]",Static Function,"_get_maptrack_handle(struct grant_table *,struct vcpu *)",xen/common/grant_table.c,,,,6,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,35,6,24,4,15,5,0,0,6,3,13,15,1,0,14,4,4,4,4,4,,,,,4,,2,4,,0.21,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[2688, 2832]",Static Function,"_get_page_type(struct page_info *,unsigned long,bool)",xen/arch/x86/mm.c,,,,17,112,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,145,17,112,8,84,16,0,0,33,1652,46,70,6,3,61,26,26,38,14,46,,,,,46,,5,45,,0.14,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[4277, 4303]",Static Function,"_handle_iomem_range(unsigned long,unsigned long,struct memory_map_context *)",xen/arch/x86/mm.c,,,,2,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,27,2,25,3,16,0,0,0,12,5,13,17,1,0,16,5,5,6,5,6,,,,,6,,3,6,,0.00,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[2565, 2599]",Static Function,"_put_final_page_type(struct page_info *,unsigned long,bool,struct page_info *)",xen/arch/x86/mm.c,,,,2,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,35,2,32,3,20,1,0,0,14,4,15,18,1,0,17,4,4,6,1,2,,,,,0,,2,0,,0.03,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[2602, 2685]",Static Function,"_put_page_type(struct page_info *,bool,struct page_info *)",xen/arch/x86/mm.c,,,,13,53,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,84,13,53,4,38,18,0,0,17,20,25,37,2,3,32,12,10,16,9,26,,,,,26,,4,25,,0.34,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[806, 819]",Static Function,"_set_status(unsigned,domid_t,int,int,grant_entry_header_t *,struct active_grant_entry *,grant_status_t *)",xen/common/grant_table.c,,,,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,1,13,7,4,0,0,0,3,2,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[648, 718]",Static Function,"_set_status_v1(domid_t,int,int,grant_entry_header_t *,struct active_grant_entry *)",xen/common/grant_table.c,,,,10,44,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,71,10,44,9,26,17,0,0,8,50,27,34,4,3,27,11,11,13,7,9,,,,,9,,4,9,,0.39,,,,
430,Yes,No,3d4868a481eebed232eeacba36ea28e5dee5e946,"[""CVE-2019-17342""]",No,"[720, 803]",Static Function,"_set_status_v2(domid_t,int,int,grant_entry_header_t *,struct active_grant_entry *,grant_status_t *)",xen/common/grant_table.c,,,,8,67,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,84,8,67,11,39,10,0,0,7,48,37,44,5,0,39,12,12,19,7,9,,,,,9,,3,9,,0.15,,,,
