Vulnerable,Git Commit Hash,Affected Functions,Affected Classes,File,Line,Column,Severity,Rule,CWE,Message
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,"[{""Name"": ""send_dg(int, const int *, int, const int *, int, int **, int *, int *, int, int *, int *, int **, int **, int *, int *, int *)"", ""Begin Line"": 1084, ""End Line"": 1523}]",,resolv/res_send.c,1343,47,warning,nullPointerRedundantCheck,476,Either the condition 'thisansp!=NULL' is redundant or there is possible null pointer dereference: thisansp.
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,,,resolv/res_send.c,1535,3,warning,invalidPrintfArgType_uint,686,%u in format string (no. 3) requires 'unsigned int' but the argument type is 'signed int'.
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[{""Name"": ""_nss_dns_gethostbyname4_r(const char *, struct gaih_addrtuple **, char *, size_t, int *, int *, int *)"", ""Begin Line"": 280, ""End Line"": 361}]",,resolv/nss_dns/dns-host.c,295,19,warning,allocaCalled,,Obsolete function 'alloca' called. In C99 and later it is recommended to use a variable length array instead.
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[{""Name"": ""_nss_dns_gethostbyname4_r(const char *, struct gaih_addrtuple **, char *, size_t, int *, int *, int *)"", ""Begin Line"": 280, ""End Line"": 361}]",,resolv/nss_dns/dns-host.c,307,53,warning,allocaCalled,,Obsolete function 'alloca' called. In C99 and later it is recommended to use a variable length array instead.
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[{""Name"": ""gaih_getanswer_slice(const int *, int, const char *, struct gaih_addrtuple ***, char **, size_t *, int *, int *, int *, int *)"", ""Begin Line"": 979, ""End Line"": 1212}]",,resolv/nss_dns/dns-host.c,1166,8,warning,nullPointerRedundantCheck,476,Either the condition '*pat==NULL' is redundant or there is possible null pointer dereference: *pat.
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[{""Name"": ""gaih_getanswer_slice(const int *, int, const char *, struct gaih_addrtuple ***, char **, size_t *, int *, int *, int *, int *)"", ""Begin Line"": 979, ""End Line"": 1212}]",,resolv/nss_dns/dns-host.c,1167,8,warning,nullPointerRedundantCheck,476,Either the condition '*pat==NULL' is redundant or there is possible null pointer dereference: *pat.
Yes,b59d114bd1e0571fba85b3cbcc61d4f4b42f5d1b,"[{""Name"": ""__libc_res_nquery(int, const char *, int, int, int *, int, int **, int **, int *, int *, int *)"", ""Begin Line"": 113, ""End Line"": 310}]",,resolv/res_query.c,131,16,warning,allocaCalled,,Obsolete function 'alloca' called. In C99 and later it is recommended to use a variable length array instead.
Yes,f2b3078e6a20211233d4971653838e06d048296a,,,resolv/res_send.c,1401,3,warning,invalidPrintfArgType_uint,686,%u in format string (no. 3) requires 'unsigned int' but the argument type is 'signed int'.
No,b66d837bb5398795c6b0f651bd5a5d66091d8577,"[{""Name"": ""send_vc(int, const int *, int, const int *, int, int **, int *, int *, int, int **, int **, int *, int *, int *)"", ""Begin Line"": 735, ""End Line"": 988}]",,resolv/res_send.c,882,21,warning,nullPointerRedundantCheck,476,Either the condition 'thisansp!=NULL' is redundant or there is possible null pointer dereference: thisansp.
No,b66d837bb5398795c6b0f651bd5a5d66091d8577,"[{""Name"": ""send_dg(int, const int *, int, const int *, int, int **, int *, int *, int, int *, int *, int **, int **, int *, int *, int *)"", ""Begin Line"": 1096, ""End Line"": 1540}]",,resolv/res_send.c,1354,30,warning,nullPointerRedundantCheck,476,Either the condition 'thisansp!=NULL' is redundant or there is possible null pointer dereference: thisansp.
No,b66d837bb5398795c6b0f651bd5a5d66091d8577,"[{""Name"": ""send_dg(int, const int *, int, const int *, int, int **, int *, int *, int, int *, int *, int **, int **, int *, int *, int *)"", ""Begin Line"": 1096, ""End Line"": 1540}]",,resolv/res_send.c,1357,47,warning,nullPointerRedundantCheck,476,Either the condition 'thisansp!=NULL' is redundant or there is possible null pointer dereference: thisansp.
No,b66d837bb5398795c6b0f651bd5a5d66091d8577,,,resolv/res_send.c,1552,3,warning,invalidPrintfArgType_uint,686,%u in format string (no. 3) requires 'unsigned int' but the argument type is 'signed int'.
Yes,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,"[{""Name"": ""send_vc(int, const int *, int, const int *, int, int **, int *, int *, int, int **, int **, int *, int *, int *)"", ""Begin Line"": 723, ""End Line"": 976}]",,resolv/res_send.c,870,21,warning,nullPointerRedundantCheck,476,Either the condition 'thisansp!=NULL' is redundant or there is possible null pointer dereference: thisansp.
Yes,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,"[{""Name"": ""send_dg(int, const int *, int, const int *, int, int **, int *, int *, int, int *, int *, int **, int **, int *, int *, int *)"", ""Begin Line"": 1084, ""End Line"": 1523}]",,resolv/res_send.c,1340,30,warning,nullPointerRedundantCheck,476,Either the condition 'thisansp!=NULL' is redundant or there is possible null pointer dereference: thisansp.
Yes,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,"[{""Name"": ""send_dg(int, const int *, int, const int *, int, int **, int *, int *, int, int *, int *, int **, int **, int *, int *, int *)"", ""Begin Line"": 1084, ""End Line"": 1523}]",,resolv/res_send.c,1343,47,warning,nullPointerRedundantCheck,476,Either the condition 'thisansp!=NULL' is redundant or there is possible null pointer dereference: thisansp.
Yes,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,,,resolv/res_send.c,1535,3,warning,invalidPrintfArgType_uint,686,%u in format string (no. 3) requires 'unsigned int' but the argument type is 'signed int'.
No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,"[{""Name"": ""_nss_dns_getnetbyname_r(const char *, struct netent *, char *, size_t, int *, int *)"", ""Begin Line"": 108, ""End Line"": 147}]",,resolv/nss_dns/dns-network.c,126,51,warning,allocaCalled,,Obsolete function 'alloca' called. In C99 and later it is recommended to use a variable length array instead.
No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,"[{""Name"": ""_nss_dns_getnetbyaddr_r(int, int, struct netent *, char *, size_t, int *, int *)"", ""Begin Line"": 150, ""End Line"": 234}]",,resolv/nss_dns/dns-network.c,202,51,warning,allocaCalled,,Obsolete function 'alloca' called. In C99 and later it is recommended to use a variable length array instead.
No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,"[{""Name"": ""_nss_dns_getnetbyaddr_r(int, int, struct netent *, char *, size_t, int *, int *)"", ""Begin Line"": 150, ""End Line"": 234}]",,resolv/nss_dns/dns-network.c,151,35,warning,funcArgOrderDifferent,683,"Function '_nss_dns_getnetbyaddr_r' argument order different: declaration 'addr, type, net, buffer, buflen, errnop, herrnop' definition 'net, type, result, buffer, buflen, errnop, herrnop'"
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[{""Name"": ""_nss_dns_getnetbyname_r(const char *, struct netent *, char *, size_t, int *, int *)"", ""Begin Line"": 108, ""End Line"": 150}]",,resolv/nss_dns/dns-network.c,129,51,warning,allocaCalled,,Obsolete function 'alloca' called. In C99 and later it is recommended to use a variable length array instead.
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[{""Name"": ""_nss_dns_getnetbyaddr_r(int, int, struct netent *, char *, size_t, int *, int *)"", ""Begin Line"": 153, ""End Line"": 237}]",,resolv/nss_dns/dns-network.c,205,51,warning,allocaCalled,,Obsolete function 'alloca' called. In C99 and later it is recommended to use a variable length array instead.
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,"[{""Name"": ""_nss_dns_getnetbyaddr_r(int, int, struct netent *, char *, size_t, int *, int *)"", ""Begin Line"": 153, ""End Line"": 237}]",,resolv/nss_dns/dns-network.c,154,35,warning,funcArgOrderDifferent,683,"Function '_nss_dns_getnetbyaddr_r' argument order different: declaration 'addr, type, net, buffer, buflen, errnop, herrnop' definition 'net, type, result, buffer, buflen, errnop, herrnop'"
