Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Static Function,"dav_meets_conditions(request_rec *,int)",modules/dav/main/util.c,,,,4,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,4,20,3,11,7,0,0,3,9,6,11,2,0,9,6,6,8,6,5,,,,,5,,3,5,,0.35,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_new_error(apr_pool_t *,int,int,apr_status_t,const char *)",modules/dav/main/util.c,,,,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,3,10,3,6,1,0,0,6,1,6,6,1,0,5,1,1,1,1,0,,,,,0,,0,0,,0.10,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_new_error_tag(apr_pool_t *,int,int,apr_status_t,const char *,const char *,const char *)",modules/dav/main/util.c,,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,2,11,6,4,0,0,0,4,1,4,4,1,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Static Function,"dav_process_if_header(request_rec *,dav_if_header **)",modules/dav/main/util.c,,,,26,132,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,172,26,132,13,106,15,0,0,14,37,48,75,12,0,63,26,19,30,22,124,,,,,124,,6,124,,0.11,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_push_error(apr_pool_t *,int,int,const char *,dav_error *)",modules/dav/main/util.c,,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,2,11,4,6,0,0,0,6,1,6,6,1,0,5,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_set_bufsize(apr_pool_t *,dav_buffer *,apr_size_t)",modules/dav/main/util.c,,,,3,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,3,11,2,6,5,0,0,5,3,4,6,0,0,6,3,3,3,1,0,,,,,0,,2,0,,0.45,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_validate_request(request_rec *,dav_resource *,int,dav_locktoken *,dav_response **,int,dav_lockdb *)",modules/dav/main/util.c,,,,29,157,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,240,29,155,23,115,54,0,2,44,17329,76,99,16,0,83,24,24,31,9,11,,,,,9,,4,9,,0.35,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Static Function,"dav_validate_resource_state(apr_pool_t *,const dav_resource *,dav_lockdb *,const dav_if_header *,int,dav_buffer *,request_rec *)",modules/dav/main/util.c,,,,57,236,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,578,57,236,23,171,290,0,0,16,15285,85,125,16,1,108,41,39,52,37,114,,,,,114,,5,112,,1.23,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_validate_root(const apr_xml_doc *,const char *)",modules/dav/main/util.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,2,3,0,0,0,2,1,1,1,0,0,1,1,1,3,1,0,,,,,0,,0,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Static Function,"dav_validate_walker(dav_walk_resource *,int)",modules/dav/main/util.c,,,,4,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,29,4,18,3,12,7,0,0,5,3,6,8,2,0,6,3,3,4,3,2,,,,,2,,1,2,,0.39,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_xml_get_cdata(const apr_xml_elem *,apr_pool_t *,int)",modules/dav/main/util.c,,,,10,58,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,74,10,58,10,41,8,0,0,5,372,40,52,8,0,44,13,13,16,4,3,,,,,3,,2,3,,0.14,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_xmlns_add(dav_xmlns_info *,const char *,const char *)",modules/dav/main/util.c,,,,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,6,2,2,3,0,0,1,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.50,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_xmlns_add_uri(dav_xmlns_info *,const char *)",modules/dav/main/util.c,,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,2,11,3,6,0,0,0,5,2,5,6,1,0,5,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,dav_xmlns_create(apr_pool_t *),modules/dav/main/util.c,,,,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,2,8,2,5,0,0,0,6,1,5,5,1,0,4,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_xmlns_generate(dav_xmlns_info *,apr_text_header *)",modules/dav/main/util.c,,,,3,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,3,14,6,6,0,0,0,5,2,9,10,4,1,5,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_xmlns_get_prefix(dav_xmlns_info *,const char *)",modules/dav/main/util.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Unknown,,Function,"dav_xmlns_get_uri(dav_xmlns_info *,const char *)",modules/dav/main/util.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
15,Yes,Yes,be6ef336b248743839cbaf7c2cf2b369121cddfb,"[""CVE-2013-6438""]",Yes,,File,util.c,modules/dav/main/util.c,7,35,14,299,1248,616,6,6,8,4,56,7,34,14,,,,0,,,,,,35,,,,,,,,,,,,,,2147,294,1207,200,817,613,29,19,,,480,704,141,4,559,,,,,,41,39,52,37,,,6,,,0.51,224,215,279,170
